time,xg,yg,zg,ug,vg,wg,phi,theta,psi
1.68,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.685,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.69,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.695,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.7,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.705,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.71,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.715,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.72,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.725,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.73,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.735,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.74,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.745,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.75,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.755,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.76,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.765,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.77,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.775,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.78,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.785,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.79,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.795,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.8,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.805,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.81,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.815,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.82,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.825,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.83,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.835,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.84,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.845,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.85,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.855,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.86,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.865,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.87,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.875,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.88,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.885,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.89,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.895,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
